a	aː
nidderkolpech	nidɐkolpəɕ
nidderkuer	nidɐkuːɐ
nidderlag	nidɐlaːχ
nidderlagen	nidɐlaːʒən
nidderleeën	nidɐleːən
niddergeluecht	nidɐgəluəɕt
nidderloossen	nidɐloːsən
niddergelooss	nidɐgəloːs
nidderpallen	nidɐpɑlən
nidderschlag	nidɐʃlaːχ
nidderschléi	nidɐʃlɜɪ
nidderschloen	nidɐʃloːən
nidderschreiwen	nidɐʃʀɑɪvən
niddergeschriwwen	nidɐgəʃʀivən
niddersetzen	nidɐzætsən
niddergesat	nidɐgəsaːt
nidderträchteg	nidɐtʀæɕtəɕ
nidderträchtegkeet	nidɐtʀæɕtəɕkeːt
nidderträchtegkeeten	nidɐtʀæɕtəɕkeːtən
nidderwampech	nidɐvɑmpəɕ
niddreg	nidʀəɕ
nieft	niəft
nieftenaner	niəftənaːnɐ
niefteneen	niəftəneːn
nier	niːɐ
nieren	niːʀən
geniert	ʒeːniːɐt
nierentransplantatioun	niːʀəntʀɑnsplɑntatsjəʊn
nierentransplantatiounen	niːʀəntʀɑnsplɑntatsjəʊnən
nieschen	niəsjən
niesercher	niəzɐɕɐ
niess	niəs
niessen	niəsən
niewebäi	niəvəbæːɪ
niewebeschäftegung	niəvəbəʃæftəʑuŋ
niewebeschäftegungen	niəvəbəʃæftəʑuŋən
niewefach	niəvəvɑχ
niewefächer	niəvəfæɕɐ
niewegeräisch	niəvəgəʀæːɪʃ
niewegeräischer	niəvəgəʀæːɪʃɐ
niewekäschten	niəvəkæʃtən
niewelaanscht	niəvəlaːnʃt
niewenakommes	niəvənɑkoməs
niewendrun	niəvəndʀun
niewenerscheinung	niəvənɐʃɑɪnuŋ
niewenerscheinungen	niəvənɐʃɑɪnuŋən
niewent	niəvənt
niewentenaner	niəvəntənaːnɐ
niewenteneen	niəvəntəneːn
nieweroll	niəvəʀol
niewerollen	niəvəʀolən
niewesaach	niəvəsaːχ
niewesaachen	niəvəsaːχən
niewesächlech	niəvəzæɕləɕ
niewesächlechkeet	niəvəzæɕləɕkeːt
niewesächlechkeeten	niəvəzæɕləɕkeːtən
niewesall	niəvəzɑl
niewesäll	niəvəzæl
niewesaz	niəvəzaːts
niewesätz	niəvəzæts
niewestrooss	niəvəʃtʀoːs
niewestroossen	niəvəʃtʀoːsən
nieweverdéngscht	niəvəfɐdeŋʃt
nieweverdéngschter	niəvəfɐdeŋʃtɐ
niewewierkung	niəvəviːɐkuŋ
niewewierkungen	niəvəviːɐkuŋən
niger	niːʑɐ
nigeria	niʒeʀjaː
nigerianer	niʒeʀjaːnɐ
nigerianerin	niʒeʀjaːnəʀin
nigerianerinnen	niʒeʀjaːnəʀinən
nigerianesch	niʒeʀjaːnəʃ
nigrer	nigʀɐ
nigrerin	nigʀəʀin
nigrerinnen	nigʀəʀinən
nigresch	nigʀəʃ
niichter	niːɕtɐ
niklosdag	nikloːsdaːχ
nikotin	nikotin
nilpäerd	niːlpɛːɐt
nimools	nimoːls
ningsen	niŋsən
nisch	niʃ
nischen	nisjən
nitrat	nitʀaːt
nitraten	nitʀaːtən
nitt	nit
nitten	nitən
genitt	gənit
niveau	nivoː
niveauen	nivoːən
nivelléieren	nivælɜɪəʀən
nivelléiert	nivælɜɪɐt
niwwel	nivəl
niwweleg	nivələɕ
niwwelluucht	nivəlluːχt
niwwelluuchten	nivəlluːχtən
no	noː
noafen	noːaːfən
nogeaaft	noːgəaːft
noäiferen	noːæːɪfəʀən
nogeäifert	noːgəæːɪfɐt
nobäi	noːbæːɪ
nobauen	noːbɑʊən
nogebaut	noːgəbæːʊt
nobehandelen	noːbəhɑndələn
nobehandelt	noːbəhɑndəlt
nobehandlung	noːbəhɑndluŋ
nobehandlungen	noːbəhɑndluŋən
nobel	noːbəl
nobestellen	noːbəʃtælən
nobestallt	noːbəʃtɑlt
nobezuelen	noːbətsuələn
nobezuelt	noːbətsuəlt
nobless	noːblæs
noblesse	noːblæsə
nobréngen	noːbʀeŋən
nobruecht	noːbʀuəɕt
nobueren	noːbuəʀən
nogebuert	noːgəbuːɐt
nodeel	noːdeːl
nodeeler	noːdeːlɐ
nodeem	noːdeːm
nodeems	noːdeːms
nodenken	noːdæŋkən
nogeduecht	noːgəduəɕt
nodenklech	noːdæŋkləɕ
nodrécken	noːdʀekən
nogedréckt	noːgədʀekt
nodréiglech	noːdʀɜɪʑləɕ
nodrock	noːdʀok
nodroen	noːdʀoːən
nogedroen	noːgədʀoːən
noenaner	noːənaːnɐ
noeneemaachen	noːəneːmaːχən
noeneegemaach	noːəneːʑəmaːχ
noeneen	noːəneːn
noerzielen	noːɐtsiələn
noerzielt	noːɐtsiəlt
noexamen	noːægzaːmən
nofëllen	noːfələn
nogefëllt	noːgəfəlt
nofillen	noːfilən
nogefillt	noːgəfilt
nofolger	noːfolʑɐ
nofolgerin	noːfolʑəʀin
nofolgerinnen	noːfolʑəʀinən
nofolleg	noːfoləɕ
nofro	noːfʀoː
nofroen	noːfʀoːən
nogefrot	noːgəfʀoːt
nofueren	noːfuːɐʀən
nogefuer	noːgəfuːɐ
nofuerschen	noːfuːɐʃən
nogefuerscht	noːgəfuːɐʃt
nofuerschung	noːfuːɐʃuŋ
nofuerschungen	noːfuːɐʃuŋən
nogebuerten	noːgəbuːɐtən
nogeheien	noːgəhɑɪən
nogehäit	noːgəhæːɪt
nogeschmaach	noːgəʃmaːχ
noginn	noːgin
nogoen	noːgoːən
nogaangen	noːgaːŋən
nohalteg	noːhɑltəɕ
nohaltegkeet	noːhɑltəɕkeːt
nohëllef	noːhələf
nohëllefen	noːhələfən
nogehollef	noːgəholəf
nohëllefsstonn	noːhələfsʃton
nohëllefsstonnen	noːhələfsʃtonən
nohuelen	noːhuələn
nogeholl	noːgəhol
nojäizen	noːʑæːɪtsən
nogejaut	noːgəʑɑʊt
nojem	noʒəm
nokafen	noːkaːfən
nokaaft	noːkaːft
nokommen	noːkomən
nokomm	noːkom
nokontrolléieren	noːkontʀolɜɪəʀən
nokontrolléiert	noːkontʀolɜɪɐt
nokräischen	noːkʀæːɪʃən
nogekrasch	noːgəkʀɑʃ
nokrauchen	noːkʀæːʊχən
nogekroch	noːgəkʀoχ
nokucken	noːkukən
nogekuckt	noːgəkukt
nol	noːl
neel	neːl
nolen	noːlən
nolafen	noːlaːfən
nogelaf	noːgəlaːf
nolauschteren	noːlæːʊʃtəʀən
nogelauschtert	noːgəlæːʊʃtɐt
nolauschterer	noːlæːʊʃtəʀɐ
nolauschterin	noːlæːʊʃtəʀin
nolauschterinnen	noːlæːʊʃtəʀinən
noleeën	noːleːən
nogeluecht	noːgəluəɕt
noléisseg	noːlɜɪsəɕ
noléissegkeet	noːlɜɪsəɕkeːt
noléissegkeeten	noːlɜɪsəɕkeːtən
noliesen	noːliəzən
nogelies	noːgəliəs
noliwweren	noːlivəʀən
nogeliwwert	noːgəlivɐt
noloossen	noːloːsən
nogelooss	noːgəloːs
nom	noːm
nomaachen	noːmaːχən
nogemaach	noːgəmaːχ
nomad	noːmaːt
nomaden	noːmaːdən
nomade	noːmaːt
nomadin	noːmɑdɛ̃ː
nomadinnen	noːmɑdinən
nomen	noːmən
nomëtteg	noːmətəɕ
nomëtteger	noːmətəʑɐ
nomëtten	noːmətən
nomëttes	noːmətəs
nomiessen	noːmiəsən
nogemiess	noːgəmiəs
nominatioun	noːminatsjəʊn
nominatiounen	noːminatsjəʊnən
nominativ	noːminatiːf
nominativen	noːminatiːvən
nominéieren	noːminɜɪəʀən
nominéiert	noːminɜɪɐt
nominéierung	noːminɜɪəʀuŋ
nominéierungen	noːminɜɪəʀuŋən
nomolen	noːmoːlən
nogemoolt	noːgəmoːlt
nomoossen	noːmoːsən
nogemooss	noːgəmoːs
nonchalance	nonʃɑlɑ̃ːs
noneemaachen	noneːmaːχən
noneegemaach	noneːʑəmaːχ
noneen	noneːn
nonn	non
nonnen	nonən
nonne	nonə
nonnefascht	nonəvɑʃt
nonnefäscht	nonəfæʃt
nonnëfascht	nonəfɑʃt
nonnëfäscht	nonəfæʃt
nonzeg	nontsəɕ
nonzeger	nontsəʑɐ
nonzegerjoren	nontsəʑɐjoːʀən
nonzegst	nontsəɕst
nonzéng	nontseŋ
nonzéngt	nontseŋt
nopäifen	noːpæːɪfən
nogepaff	noːgəpɑf
noper	noːpɐ
noperen	noːpəʀən
noperschaft	noːpɐʃɑft
noperschaftssträit	noːpɐʃɑftsʃtʀæːɪt
nopesch	noːpəʃ
nopeschen	noːpəʃən
nopeschbouf	noːpəʃbəʊf
nopeschbouwen	noːpəʃbəʊvən
nopeschduerf	noːpəʃduːɐf
nopeschdierfer	noːpəʃdiːɐfɐ
nopeschgemeng	noːpəʃgəmæŋ
nopeschgemengen	noːpəʃgəmæŋən
nopeschhaus	noːpəʃhæːʊs
nopeschhaiser	noːpəʃhɑɪzɐ
nopeschhond	noːpəʃhont
nopeschhënn	noːpəʃhən
nopeschjong	noːpəʃjoŋ
nopeschjongen	noːpəʃjoŋən
nopeschkand	noːpəʃkɑnt
nopeschkanner	noːpəʃkɑnɐ
nopeschland	noːpəʃlɑnt
nopeschlänner	noːpəʃlænɐ
nopeschmeedchen	noːpəʃmeːtɕən
nopeschmeedercher	noːpəʃmeːdɐɕɐ
nopeschterrain	noːpəʃtæʀɛ̃ː
nopeschterrainen	noːpəʃtæʀɛ̃ːən
nopeschvilla	noːpəʃvilaː
nopeschvillaen	noːpəʃvilaːən
noplapperen	noːplɑpəʀən
nogeplappert	noːgəplɑpɐt
norden	nɔʀdən
nordesch	nɔʀdəʃ
nordkorea	nɔʀdkɔʀeaː
nordkoreaner	nɔʀdkɔʀeaːnɐ
nordkoreanerin	nɔʀdkɔʀeaːnəʀin
nordkoreanerinnen	nɔʀdkɔʀeaːnəʀinən
nordkoreanesch	nɔʀdkɔʀeaːnəʃ
nordpol	nɔʀdpol
nordpolen	nɔʀdpolən
nordsudan	nɔʀdzudaːn
nordsudanes	nɔʀdzudaːnəs
nordsudanesen	nɔʀdzudɑneːzən
nordsudanesesch	nɔʀdzudɑneːzəʃ
nordsudanesin	nɔʀdzudaːnəzin
nordsudanesinnen	nɔʀdzudaːnəzinən
nordwand	nɔʀdvɑnt
norechnen	nɔʀæɕnən
nogerechent	noːgəʀæɕənt
noréckelen	nɔʀekələn
nogeréckelt	noːgəʀekəlt
norennen	nɔʀænən
nogerannt	noːgəʀɑnt
norëtschen	nɔʀətʃən
nogerëtscht	noːgəʀətʃt
noriicht	nɔʀiːɕt
noriichten	nɔʀiːɕtən
norm	nɔʀm
normen	nɔʀmən
normal	nɔʀmaːl
normalerweis	nɔʀmaːlɐwɑɪs
normalfall	nɔʀmaːlfɑl
normaliséieren	nɔʀmaːlizɜɪəʀən
normaliséiert	nɔʀmaːlizɜɪɐt
noruff	nɔʀuf
noruffer	nɔʀufɐ
noruffen	nɔʀufən
nogeruff	noːgəʀuf
norutschen	nɔʀutʃən
nogerutscht	noːgəʀutʃt
norwegen	nɔvəʑən
norweger	nɔvəʑɐ
norwegerin	nɔʀveːʑɐin
norwegerinnen	nɔʀveːʑəʀinən
norwegesch	nɔʀveːʑəʃ
nosaison	nosɛːzɑ̃ː
nosaisonen	nosɛːzɑ̃ːən
nosalzen	noːzɑltsən
nogesalzt	noːgəzɑltst
noschécken	noʃekən
nogeschéckt	noːgəʃekt
noschëdden	noʃədən
nogeschott	noːgəʃot
noschläifen	noʃlæːɪfən
nogeschlaff	noːgəʃlɑf
noschleefen	noʃleːfən
nogeschleeft	noːgəʃleːft
noschloen	noʃloːən
nogeschloen	noːgəʃloːən
noschreiwen	noʃʀɑɪvən
nogeschriwwen	noːgəʃʀivən
noschwätzen	noʃwætsən
nogeschwat	noːgəʃwaːt
nosichen	noːziɕən
nogesicht	noːgəziɕt
nosoen	noːzoːən
nogesot	noːgəzot
nospanen	noʃpaːnən
nogespaant	noːgəʃpaːnt
nospill	noʃpil
nospillen	noʃpilən
nogespillt	noːgəʃpilt
nospionéieren	nospjoːnɜɪəʀən
nospionéiert	nospjoːnɜɪɐt
noss	nos
nëss	nəs
nostalgesch	nostɑlʑəʃ
nostalgie	nostɑlʒiː
nostoen	noʃtoːən
nogestanen	noːgəʃtaːnən
notabel	notaːbəl
notabilitéiten	notɑbilitɜɪtən
notaire	notɛːʀ
notairen	notɛːʀən
note	not
notten	notən
notéieren	notɜɪəʀən
notéiert	notɜɪɐt
notiz	notits
notizen	notitsən
notizbuch	notitsbuχ
notizbicher	notitsbiɕɐ
notoresch	notoːʀəʃ
notraueren	notʀɑʊəʀən
nogetrauert	noːgətʀɑʊɐt
nott	not
notzen	notsən
genotzt	gənotst
nougat	nəʊgaːt
noumer	nəʊmɐ
nouspelt	nəʊʃpælt
nout	nəʊt
nouten	nəʊtən
néit	nɜɪt
noutausgang	nəʊtæːʊsgɑŋ
noutausgäng	nəʊtæːʊsgæŋ
noutausgank	nəʊtæːʊsgɑŋk
noutbrems	nəʊtbʀæms
noutbremsen	nəʊtbʀæmzən
nouteblat	nəʊtəblaːt
nouteblieder	nəʊtəbliədɐ
noutem	nəʊtəm
noutepult	nəʊtpult
noutepulter	nəʊtpultɐ
nouteschlëssel	nəʊtəʃləsəl
nouteschlësselen	nəʊtəʃləsələn
noutestänner	nəʊtəʃtænɐ
noutestänneren	nəʊtəʃtænəʀən
noutfall	nəʊtfɑl
noutfäll	nəʊtfæl
noutfalls	nəʊtfɑls
noutgedrongen	nəʊtgədʀoŋən
noutlanden	nəʊtlɑndən
noutgelant	nəʊtgəlɑnt
noutlandung	nəʊtlɑnduŋ
noutlandungen	nəʊtlɑnduŋən
noutligen	nəʊtliːʑən
noutsignal	nəʊtzignaːl
noutsignaler	nəʊtzignaːlɐ
noutspur	nəʊtʃpuːʀ
noutspuren	nəʊtʃpuːʀən
noutstand	nəʊtʃtɑnt
nouttelefon	nəʊttələfon
nouttelefonen	nəʊttələfonən
noutwendeg	nəʊtvændəɕ
noutwendegkeet	nəʊtvændəɕkeːt
noutwendegkeeten	nəʊtvændəɕkeːtən
noutwenneg	nəʊtvænəɕ
noutwennegkeet	nəʊtvænəɕkeːt
noutwennegkeeten	nəʊtvænəɕkeːtən
noutwier	nəʊtviːɐ
nouvelle	nuvæl
nouvellen	nuvælən
novell	novæl
novellen	novælən
november	novæmbɐ
novemberen	novæmbəʀən
noviz	noviːts
novizen	novitsən
novizin	novitsin
novizinnen	novitsinən
novollzéien	novoltsɜɪən
novollzunn	novoltsun
nowäis	noːvæːɪs
noweiser	noːvɑɪzɐ
nowéi	noːvɜɪ
nowéien	noːvɜɪən
noweien	noːvɑɪən
nogewien	noːgəviːən
noweis	noːvɑɪs
noweisen	noːvɑɪzən
nogewisen	noːgəviːzən
nowerfen	noːvɛʀfən
nogeworf	noːgəvɔʀf
nowierken	noːviːɐkən
nogewierkt	noːgəviːɐkt
nowierkung	noːviːɐkuŋ
nowierkungen	noːviːɐkuŋən
nowuert	noːvuːɐt
nowierder	noːviːɐdɐ
nowuess	noːvuəs
nowuessen	noːvuəsən
nogewuess	noːgəvuəs
nozeechnen	noːtseːɕnən
nogezeechent	noːgətseːɕənt
nozéien	noːtsɜɪən
nogezunn	noːgətsun
nozielen	noːtsiələn
nogezielt	noːgətsiəlt
nu	nuː
nuen	nuən
nuance	nuɑ̃ːs
nuancen	nuɑ̃ːsən
nuancéieren	nuɑ̃ːsɜɪəʀən
nuancéiert	nuɑ̃ːsɜɪɐt
nuddel	nudəl
nuddelen	nudələn
nuddelsdeeg	nudəlsdeːɕ
nuebel	nuəbəl
nuebelen	nuəbələn
nuebelschnouer	nuəbəlʃnəʊɐ
nuebelschnéier	nuəbəlʃnɜɪɐ
nuecht	nuəɕt
nuechten	nuəɕtən
nuechtegailchen	nuəɕtəgɑɪlɕən
nuechtegailercher	nuəɕtəgɑɪlɐɕɐ
nuechtelaang	nuəɕtəlaːŋ
nuechtiessen	nuəʑdiəsən
nuechtigailchen	nuəʑdigɑɪlɕən
nuechtigailercher	nuəʑdigɑɪɐɕɐ
nuechtmanescht	nuəɕtmaːnəʃt
nuef	nuəf
nuewen	nuəvən
nues	nuəs
nuesen	nuəsən
nuesespëtz	nuəsəʃpəts
nuesespëtzen	nuəsəʃpətsən
nuesespëtzt	nuəsəʃpətst
nuesespëtzten	nuəsəʃpətstən
nueslach	nuəslɑχ
nueslächer	nuəslæɕɐ
nueslächelchen	nuəslæɕəlɕən
nueslächelcher	nuəslæɕəlɕɐ
nuesschnappech	nuəsʃnɑpəɕ
nuesschnappecher	nuəsʃnɑpəɕɐ
nuets	nuəts
nuetsbetrib	nuətsbətʀiːp
nuetsdësch	nuətsdəʃ
nuetsdëscher	nuətsdəʃɐ
nuetsfluch	nuətsfluχ
nuetsflich	nuətsfliɕ
nuetshiem	nuətshiəm
nuetshiemer	nuətshiəmɐ
nuetsliewen	nuətsliəvən
nuetsschicht	nuətsʃiɕt
nuetsschichten	nuətsʃiɕtən
nuetswaach	nuətsvaːχ
nuetswaachen	nuətsvaːχən
nuetswiechter	nuətsviəɕtɐ
nuetswiechterin	nuətsviəɕtəʀin
nuetswiechterinnen	nuətsviəɕtəʀinən
nujelen	nuʒələn
genujelt	gənuʒəlt
nuklear	nukleaːʀ
null	nul
nullen	nulən
nullpunkt	nulpuŋkt
numm	num
nimm	nim
nummer	numɐ
nummeren	numəʀən
nummeréieren	numəʀɜɪəʀən
nummeréiert	numəʀɜɪɐt
nummereschëld	numɐəʃəlt
nummereschëlter	numɐəʃəltɐ
nummero	numəʀoː
nummeroen	numəʀoːən
nuntius	nutjus
nuntiussen	nutjusən
nuque	nuk
nuquen	nukən
nylon	niloːn
nymphomanesch	nifoːmaːnəʃ
nymphomanie	nifoːmɑniː
nymphomanin	nifoːmaːnin
nymphomaninnen	nifoːmaːninən
ob	op
obduzéieren	opdutsɜɪəʀən
obduzéiert	opdutsɜɪɐt
obeler	oːbəlɐ
oberfläch	oːbɐflæɕ
oberflächen	oːbɐflæɕən
oberin	oːbəʀin
oberinnen	oːbəʀinən
objekt	opʒækt
objekter	opjektɐ
objektioun	opjeksjəʊn
objektiounen	opjektsjəʊnən
objektiv	opjektiːf
objektiven	opjektiːvən
objektivitéit	opjektivitɜɪt
objet	opʒeː
objeten	opʒeːən
obligat	obligaːt
obligatioun	obligatsjəʊn
obligatiounen	obligatsjəʊnən
obligatoresch	obligɑtoːʀəʃ
obligéieren	obliʒɜɪəʀən
obligéiert	obligɜɪɐt
obschonn	opʃon
obschonns	opʃons
observateur	opzɛʀvɑtœːʀ
observateuren	opzɛʀvɑtœːʀən
observatoire	opzɛʀvɑtwaːʀ
observatoiren	opzɛʀvɑtwaːʀən
obsessioun	opsəsjəʊn
obsessiounen	opsəsjəʊnən
obskur	opskuːɐ
obstinéieren	opstinɜɪəʀən
obstinéiert	opstinɜɪɐt
obszön	opstsøːn
obszönitéit	opstsøːnitɜɪt
obszönitéiten	opstsøːnitɜɪtən
obwuel	opvuəl
occasioun	okɑzjəʊn
occasiounen	okɑzjəʊnən
occasiounsauto	okɑzjəʊnzɑʊtoː
occasiounsautoen	okɑzjəʊnzɑʊtoːən
occupatioun	okypatsjəʊn
occupatiounen	okypatsjəʊnən
och	oχ
ochs	oks
ochsen	oksən
ochseschwanzzopp	oksəʃwɑntstsop
ochseschwanzzoppen	oksəʃwɑntstsopən
ocker	okɐ
oder	oːdɐ
oderen	oːdəʀən
oeillet	oɑɪleː
oeilleten	oɑɪleːən
ofbäissen	oːfbæːɪsən
ofgebass	oːfgəbɑs
ofbau	oːfbæːʊ
ofbauen	oːfbɑʊən
ofgebaut	oːfgəbæːʊt
ofbéien	oːfbɜɪən
ofgebéit	oːfgəbɜɪt
ofbestellen	oːfbəʃtælən
ofbestallt	oːfbəʃtɑlt
ofbezuelen	oːfbətsuələn
ofbezuelt	oːfbətsuəlt
ofbiischten	oːfbiːʃtən
ofgebiischt	oːfgəbiːʃt
ofblenden	oːfblændən
ofgeblent	oːfgəblænt
ofblennen	oːfblænən
ofgeblennt	oːfgəblænt
ofbliederen	oːfbliədəʀən
ofgebliedert	oːfgəbliədɐt
ofblocken	oːfblokən
ofgeblockt	oːfgəblokt
ofblosen	oːfbloːzən
ofgeblosen	oːfgəbloːzən
ofbotzen	oːfbotsən
ofgebotzt	oːfgəbotst
ofbréckelen	oːfbʀekələn
ofgebréckelt	oːfgəbʀekəlt
ofbremsen	oːfbʀæmzən
ofgebremst	oːfgəbʀəmst
ofbréngen	oːfbʀeŋən
ofbruecht	oːfbʀuəɕt
ofbriechen	oːfbʀiəɕən
ofgebrach	oːfgəbʀɑχ
ofbuchen	oːfbuχən
ofgebucht	oːfgəbuχt
ofdanken	oːfdɑŋkən
ofgedankt	oːfgədɑŋkt
ofdankung	oːfdɑŋkuŋ
ofdankungen	oːfdɑŋkuŋən
ofdecken	oːfdækən
ofgedeckt	oːfgədækt
ofdeelen	oːfdeːlən
ofgedeelt	oːfgədeːlt
ofdichten	oːfdiɕtən
ofgedicht	oːfgədiɕt
ofdinn	oːfdin
ofgedoen	oːfgədoːən
ofdoen	oːfdoːən
ofdréchnen	oːfdʀəɕnən
ofgedréchent	oːfgədʀeɕənt
ofdrécken	oːfdʀekən
ofgedréckt	oːfgədʀekt
ofdréien	oːfdʀɜɪən
ofgedréit	oːfgədʀɜɪt
ofdréinen	oːfdʀɜɪnən
ofgedréint	oːfgədʀɜɪnt
ofdreiwen	oːfdʀɑɪvən
ofgedriwwen	oːfgədʀivən
ofdreiwung	oːfdʀɑɪvuŋ
ofdreiwungen	oːfdʀɑɪvuŋən
ofdrëpsen	oːfdʀəpsən
ofgedrëpst	oːfgədʀəpst
ofdrock	oːfdʀok
ofdréck	oːfdʀek
ofdroen	oːfdʀoːən
ofgedroen	oːfgədʀoːən
ofduschen	oːfduʃən
ofgeduscht	oːfgəduʃt
offall	oːffɑl
offäll	oːffæl
offälleg	oːffæləɕ
offänken	oːffæŋkən
ofgefaangen	oːfgəfaːŋən
offannen	oːffɑnən
offonnt	oːffont
offéieren	oːffɜɪəʀən
ofgeféiert	oːfgəfɜɪɐt
offëllen	oːffələn
ofgefëllt	oːfgəfəlt
offen	ofən
offenheet	oːffənheːt
offensichtlech	oːffænziɕtləɕ
offensiv	oːffænziːf
offensiven	oːffænzivən
offensive	oːffænzivə
offer	ofɐ
offeren	ofəʀən
offerte	ofɐtə
offerten	ofɐtən
offierwen	ofiːɐvən
ofgefierft	oːfgəfiːɐft
offizéier	ofitsɜɪɐ
offizéiesch	ofitsɜɪəʃ
offizéieschen	ofitsɜɪəʃən
offiziell	ofitsjæl
offléissen	oːfflɜɪsən
ofgefloss	oːfgəflos
offloss	oːfflos
offlëss	oːffləs
offréieren	ofʀɜɪəʀən
offréiert	ofʀɜɪɐt
offueren	oːffuːɐʀən
ofgefuer	oːfgəfuːɐ
ofgasen	oːfgaːsən
ofgeleeën	oːfgəleːən
ofgesinn	oːfgəzin
ofgewinnen	oːfgəvinən
ofgewinnt	oːfgəvint
ofginn	oːfgin
ofgoen	oːfgoːən
ofgaangen	oːfgaːŋən
ofgrasen	oːfgʀaːzən
ofgegraast	oːfgəgʀaːst
ofgrenzen	oːfgʀæntsən
ofgegrenzt	oːfgəgʀæntst
ofhäerden	oːfhɛːɐdən
ofgehäert	oːfgəhɛːɐt
ofhaken	oːfhaːkən
ofgehaakt	oːfgəhaːkt
ofhalen	oːfhaːlən
ofgehalen	oːfgəhaːlən
ofhängeg	oːfhæŋəɕ
ofhängegkeet	oːfhæŋəɕkeːt
ofhänken	oːfhæŋkən
ofgehaangen	oːfgəhaːŋən
ofhetzen	oːfhætsən
ofgehetzt	oːfgəhætst
ofholzen	oːfholtsən
ofgeholzt	oːfgəholst
ofhuelen	oːfhuələn
ofgeholl	oːfgəhol
ofhunn	oːfhun
ofgehat	oːfgəhaːt
ofhuwwelen	oːfhuvələn
ofgehuwwelt	oːfgəhuvəlt
ofkachen	oːfkɑχən
ofgekacht	oːfgəkɑχt
ofkafen	oːfkaːfən
ofkaaft	oːfkaːft
ofkapselen	oːfkaːpsələn
ofgekapselt	oːfgəkɑpsəlt
ofkierzen	oːfkiːɐtsən
ofgekierzt	oːfgəkiːɐtst
ofkierzung	oːfkiːɐtsuŋ
ofkierzungen	oːfkiːɐtsuŋən
ofkillen	oːfkilən
ofgekillt	oːfgəkilt
ofklapperen	oːfklɑpəʀən
ofgeklappert	oːfgəklɑpɐt
ofklemmen	oːfklæmən
ofgeklemmt	oːfgəklæmt
ofknabberen	oːfknɑbəʀən
ofgeknabbert	oːfgəknɑbɐt
ofknäppen	oːfknæpən
ofgeknäppt	oːfgəknæpt
ofkommen	oːfkomən
ofkomm	oːfkom
ofkommes	oːfkoməs
ofkommessen	oːfkoməsən
ofkoppelen	oːfkopələn
ofgekoppelt	oːfgəkopəlt
ofkrämpen	oːfkʀæmpən
ofgekrämpt	oːfgəkʀæmpt
ofkrazen	oːfkʀaːtsən
ofgekraazt	oːfgəkʀaːtst
ofkréien	oːfkʀɜɪən
ofkritt	oːfkʀit
ofkucken	oːfkukən
ofgekuckt	oːfgəkukt
oflaf	oːflaːf
ofleef	oːfleːf
oflafen	oːflaːfən
ofgelaf	oːfgəlaːf
oflageren	oːflaːgəʀən
ofgelagert	oːfgəlaːʁɐt
oflauden	oːflɑʊdən
ofgelaut	oːfgəlæːʊt
oflauschteren	oːflæːʊʃtəʀən
ofgelauschtert	oːfgəlæːʊʃtɐt
oflecken	oːflækən
ofgeleckt	oːfgəlækt
ofleeden	oːfleːdən
ofgeleet	oːfgəleːt
ofleeën	oːfleːən
ofgeluecht	oːfgəluəɕt
ofleenen	oːfleːnən
ofgeleent	oːfgəleːnt
ofleenung	oːfleːnuŋ
oflehnen	oːfleːnən
ofgelehnt	oːfgəleːnt
oflehnung	oːfleːnuŋ
ofléisen	oːflɜɪzən
ofgeléist	oːfgəlɜɪst
ofléisung	oːflɜɪzuŋ
ofléisungen	oːflɜɪzuŋən
oflenken	oːflæŋkən
ofgelenkt	oːfgəlæŋkt
oflenkung	oːflæŋkuŋ
oflenkungen	oːflæŋkuŋən
ofliesen	oːfliəzən
ofgelies	oːfgəliəs
ofliwweren	oːflivəʀən
ofgeliwwert	oːfgəlivɐt
ofloossen	oːfloːsən
ofgelooss	oːfgəloːs
oflueden	oːfluədən
ofgelueden	oːfgəluədən
oflutschen	oːflutʃən
ofgelutscht	oːfgəlutʃt
ofmaachen	oːfmaːχən
ofgemaach	oːfgəmaːχ
ofmaachung	oːfmaːχuŋ
ofmaachungen	oːfmaːχuŋən
ofmeldung	oːfmælduŋ
ofmeldungen	oːfmælduŋən
ofmellen	oːfmælən
ofgemellt	oːfgəmælt
ofmolen	oːfmoːlən
ofgemoolt	oːfgəmoːlt
ofmontéieren	oːfmɑ̃ːtɜɪəʀən
ofmontéiert	oːfmɑ̃ːtɜɪɐt
ofneigung	oːfnɑɪʑuŋ
ofneigungen	oːfnɑɪʑuŋən
ofnotzen	oːfnotsən
ofgenotzt	oːfgənotst
ofpäifen	oːfpæːɪfən
ofgepaff	oːfgəpɑf
ofpëtzen	oːfpətsən
ofgepëtzt	oːfgəpətst
ofpompelen	oːfpompələn
ofgepompelt	oːfgəpompəlt
ofrackeren	oːfʀɑkəʀən
ofgerackert	oːfgəʀɑkɐt
ofräissen	oːfʀæːɪsən
ofgerass	oːfgəʀɑs
ofrappen	oːfʀɑpən
ofgerappt	oːfgəʀɑpt
ofraumen	oːfʀɑʊmən
ofgeraumt	oːfgəʀæːʊmt
ofreagéieren	oːfʀeaːʒɜɪəʀən
ofreagéiert	oːfʀeɑʒɜɪɐt
ofrechnen	oːfʀæɕnən
ofgerechent	oːfgəʀæɕənt
ofrechnung	oːfʀæɕnuŋ
